term,coef,direction
claim,1.1646407035696533,positive
call 08000930705,0.9362619843926728,positive
http,0.9095457375329012,positive
won,0.8913135920000758,positive
your,0.8713409715189118,positive
prize,0.8546770217055124,positive
only had,0.8448176692633529,positive
premier call,0.8383644643289122,positive
to claim,0.8341350921384043,positive
free camcorder,0.8318057060478765,positive
on 08002986906,0.7837069899620506,positive
08002986906,0.7837069899620506,positive
msg reply,0.7739303696256373,positive
has,0.7578665168848787,positive
uk,0.7231272326699539,positive
awarded,0.7223676373818291,positive
customer,0.7188135213365935,positive
reply stop,0.6939783958820985,positive
please,0.6736212257216748,positive
have won,0.6633157345345031,positive
sms auction,-0.8731082776219768,negative
rental camcorder,-0.8221307691996205,negative
per 10,-0.7120608636633462,negative
noida,-0.6579852410136802,negative
texts call,-0.6042224228554565,negative
10 days,-0.561339336330614,negative
and,-0.5443952715845786,negative
5p,-0.5390712596850602,negative
careers,-0.5380819254157455,negative
bloomberg com,-0.5380819254157455,negative
http careers,-0.5380819254157455,negative
careers bloomberg,-0.5380819254157455,negative
5p min,-0.5320349130175556,negative
sms,-0.5101289469005832,negative
sexy,-0.4809760346394939,negative
ringtoneking,-0.4804874174712498,negative
celeb,-0.47210441788832624,negative
more pics,-0.47210441788832624,negative
now 08000930705,-0.45219069077491675,negative
update co,-0.43086211343800024,negative
