term,coef,direction
text,1.4723190952038112,positive
txt,1.121515434951268,positive
ringtone,1.059698255928102,positive
win,1.0413317710702743,positive
sms,0.9133652681970008,positive
ringtoneking,0.9025631278426343,positive
rgds,0.8919260722474743,positive
sms auction,0.8865802745416567,positive
sexy,0.863782444929157,positive
tones,0.8532548995321816,positive
arsenal,0.8423337166828884,positive
rental camcorder,0.8393873725327736,positive
asap,0.7973816765758044,positive
freemsg,0.7779814899374234,positive
girls,0.7667134050153466,positive
service,0.7603168122101883,positive
noida,0.757430551187143,positive
sunshine,0.7415718898827274,positive
enjoy,0.7408362596200269,positive
club,0.7326197506944316,positive
call 08000930705,-0.8778382872794704,negative
only had,-0.8415391231935428,negative
premier call,-0.8332376409941022,negative
free camcorder,-0.8074663434896663,negative
msg reply,-0.7630870225597457,negative
claim,-0.7543659787505849,negative
if,-0.7501995758429881,negative
on 08002986906,-0.7373882911535521,negative
08002986906,-0.7373882911535521,negative
won,-0.7017549532333139,negative
08715705022,-0.6485010576859682,negative
awarded,-0.6281364312890678,negative
prize,-0.6106272390899992,negative
has,-0.5881423550441799,negative
to claim,-0.5632346286533938,negative
have won,-0.5598037710886135,negative
08718738034,-0.5385188586750367,negative
update_now,-0.532741533216519,negative
urgent,-0.5175148329602187,negative
holiday,-0.502094932633489,negative
